traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
田鶇,田鸫,tian2 dong1],(bird species of China) fieldfare (Turdus pilaris),,,,,,,,,,,,,,,,,
田鷚,田鹨,tian2 liu4],(bird species of China) Richard's pipit (Anthus richardi),,,,,,,,,,,,,,,,,
田鼠,田鼠,tian2 shu3],vole,,,,,,,,,,,,,,,,,
由,由,you2],to follow,from,it is for...to,reason,cause,because of,due to,to,to leave it (to sb),by (introduces passive verb),,,,,,,,
由不得,由不得,you2 bu4 de5],cannot help,to be beyond control of,,,,,,,,,,,,,,,,
由來,由来,you2 lai2],origin,,,,,,,,,,,,,,,,,
由徑,由径,you2 jing4],to follow a narrow path,,,,,,,,,,,,,,,,,
由憐生愛,由怜生爱,you2 lian2 sheng1 ai4],to develop love for sb out of pity for them,,,,,,,,,,,,,,,,,
由於,由于,you2 yu2],due to,as a result of,thanks to,owing to,since,because,,,,,,,,,,,,
由旬,由旬,you2 xun2],yojana (Vedic measure about 8 miles),,,,,,,,,,,,,,,,,
由此,由此,you2 ci3],hereby,from this,,,,,,,,,,,,,,,,
由此可見,由此可见,you2 ci3 ke3 jian4],from this it can be seen that...,,,,,,,,,,,,,,,,,
由盛轉衰,由盛转衰,you2 sheng4 zhuan3 shuai1],from prosperity to decline,at its peak before the decline,,,,,,,,,,,,,,,,
由著,由着,you2 zhe5],let (one) have his way,as (one) pleases,at (one's) will,,,,,,,,,,,,,,,
由表及裡,由表及里,you2 biao3 ji2 li3],to proceed from the outside to the inside,to see the essence merely by looking at the superficial appearance,,,,,,,,,,,,,,,,
由衷,由衷,you2 zhong1],heartfelt,sincere,unfeigned,,,,,,,,,,,,,,,
由頭,由头,you2 tou5],pretext,excuse,justification,reason,,,,,,,,,,,,,,
甲,甲,jia3],first of the ten Heavenly Stems 十天干[shi2 tian1 gan1],(used for an unspecified person or thing),first (in a list as a party to a contract etc),"letter ""A"" or roman ""I"" in list ""A B C"" or ""I II III"" etc",armor plating,shell or carapace,(of the fingers or toes) nail,bladed leather or metal armor (old),ranking system used in the Imperial examinations (old),civil administration unit (old),ancient Chinese compass point: 75°,,,,,,,
甲乙,甲乙,jia3 yi3],first two of the ten Heavenly Stems 十天干[shi2 tian1 gan1],,,,,,,,,,,,,,,,,
甲二醇,甲二醇,jia3 er4 chun2],methylene glycol,,,,,,,,,,,,,,,,,
甲亢,甲亢,jia3 kang4],hyperthyroidism,abbr. for 甲狀腺功能亢進|甲状腺功能亢进[jia3 zhuang4 xian4 gong1 neng2 kang4 jin4],,,,,,,,,,,,,,,,
甲仙,甲仙,Jia3 xian1],Jiaxian or Chiahsien township in Kaohsiung county 高雄縣|高雄县[Gao1 xiong2 xian4] southwest Taiwan,,,,,,,,,,,,,,,,,
甲仙鄉,甲仙乡,Jia3 xian1 xiang1],Jiaxian or Chiahsien township in Kaohsiung county 高雄縣|高雄县[Gao1 xiong2 xian4] southwest Taiwan,,,,,,,,,,,,,,,,,
甲冑,甲冑,jia3 zhou4],variant of 甲胄[jia3 zhou4],,,,,,,,,,,,,,,,,
甲午,甲午,jia3 wu3],thirty-first year A7 of the 60 year cycle e.g. 1954 or 2014,,,,,,,,,,,,,,,,,
甲午戰爭,甲午战争,Jia3 wu3 Zhan4 zheng1],First Sino-Japanese War (1894-95),,,,,,,,,,,,,,,,,
甲型,甲型,jia3 xing2],type A,type I,alpha-,,,,,,,,,,,,,,,
甲型球蛋白,甲型球蛋白,jia3 xing2 qiu2 dan4 bai2],alpha globulin,alpha fetoprotein (AFP),,,,,,,,,,,,,,,,
甲型肝炎,甲型肝炎,jia3 xing2 gan1 yan2],hepatitis A,,,,,,,,,,,,,,,,,
甲基,甲基,jia3 ji1],methyl group (chemistry),,,,,,,,,,,,,,,,,
甲基安非他命,甲基安非他命,jia3 ji1 an1 fei1 ta1 ming4],methamphetamine,,,,,,,,,,,,,,,,,
甲基苯丙胺,甲基苯丙胺,jia3 ji1 ben3 bing3 an4],methamphetamine,,,,,,,,,,,,,,,,,
甲子,甲子,jia3 zi3],first year of the sixty-year cycle (where each year is numbered with one of the 10 heavenly stems 天干[tian1 gan1] and one of the 12 earthly branches 地支[di4 zhi1]),the sixty-year cycle,,,,,,,,,,,,,,,,
甲寅,甲寅,jia3 yin2],51st year A3 of the 60 year cycle e.g. 1974 or 2034,,,,,,,,,,,,,,,,,
甲戌,甲戌,jia3 xu1],eleventh year A11 of the 60 year cycle e.g. 1994 or 2054,,,,,,,,,,,,,,,,,
甲方,甲方,jia3 fang1],first party (law),see also 乙方[yi3 fang1],,,,,,,,,,,,,,,,
甲板,甲板,jia3 ban3],deck (of a boat etc),,,,,,,,,,,,,,,,,
甲殼,甲壳,jia3 qiao4],carapace,crust,outer shell,also pr. [jia3 ke2],,,,,,,,,,,,,,
甲殼動物,甲壳动物,jia3 qiao4 dong4 wu4],crustacean,,,,,,,,,,,,,,,,,
甲殼素,甲壳素,jia3 qiao4 su4],chitin,,,,,,,,,,,,,,,,,
甲殼蟲,甲壳虫,jia3 qiao4 chong2],beetle,order Coleoptera,the Beatles (1960s UK pop group),,,,,,,,,,,,,,,
甲殼蟲類,甲壳虫类,jia3 ke2 chong2 lei4],coleoptera,,,,,,,,,,,,,,,,,
甲殼類,甲壳类,jia3 qiao4 lei4],crustacean,,,,,,,,,,,,,,,,,
甲氧基,甲氧基,jia3 yang3 ji1],methoxy (chemistry),,,,,,,,,,,,,,,,,
甲氧西林,甲氧西林,jia3 yang3 xi1 lin2],methicillin (a semi-synthetic penicillin) (loanword),,,,,,,,,,,,,,,,,
甲氨基,甲氨基,jia3 an1 ji1],methyalamino group,,,,,,,,,,,,,,,,,
甲氰菊酯,甲氰菊酯,jia3 qing2 ju2 zhi3],fenpropathrin (insecticide),,,,,,,,,,,,,,,,,
甲流,甲流,jia3 liu2],type A influenza,abbr. for 甲型H1N1流感,refers to H1N1 influenza of 2009,,,,,,,,,,,,,,,
甲溝炎,甲沟炎,jia3 gou1 yan2],paronychia (medicine),,,,,,,,,,,,,,,,,
甲烷,甲烷,jia3 wan2],methane CH4,,,,,,,,,,,,,,,,,
甲狀,甲状,jia3 zhuang4],thyroid (gland),,,,,,,,,,,,,,,,,
甲狀旁腺,甲状旁腺,jia3 zhuang4 pang2 xian4],parathyroid,,,,,,,,,,,,,,,,,
甲狀腺,甲状腺,jia3 zhuang4 xian4],thyroid gland,,,,,,,,,,,,,,,,,
