traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
諧謔,谐谑,xie2 xue4],banter,humorous repartee,,,,,,,,,,,,,,,,
諧趣,谐趣,xie2 qu4],humor,amusing,,,,,,,,,,,,,,,,
諧音,谐音,xie2 yin1],homonym,homophone,harmonic (component of sound),,,,,,,,,,,,,,,
諧音列,谐音列,xie2 yin1 lie4],harmonic series,,,,,,,,,,,,,,,,,
諫,谏,Jian4],surname Jian,,,,,,,,,,,,,,,,,
諫,谏,jian4],to remonstrate,to admonish,,,,,,,,,,,,,,,,
諫征,谏征,jian4 zheng1],to send or go on a punitive expedition,,,,,,,,,,,,,,,,,
諫正,谏正,jian4 zheng4],see 諍諫|诤谏[zheng4 jian4],,,,,,,,,,,,,,,,,
諫言,谏言,jian4 yan2],advice,to advise,,,,,,,,,,,,,,,,
諫諍,谏诤,jian4 zheng4],see 諍諫|诤谏[zheng4 jian4],,,,,,,,,,,,,,,,,
諭,谕,yu4],order (from above),,,,,,,,,,,,,,,,,
諭旨,谕旨,yu4 zhi3],imperial edict,,,,,,,,,,,,,,,,,
諭示,谕示,yu4 shi4],to issue a directive,to instruct (that sth be done),,,,,,,,,,,,,,,,
諮,谘,zi1],variant of 咨[zi1],,,,,,,,,,,,,,,,,
諮詢,谘询,zi1 xun2],consultation,to consult,to inquire,,,,,,,,,,,,,,,
諮詢員,谘询员,zi1 xun2 yuan2],advisor,consultant,,,,,,,,,,,,,,,,
諱,讳,hui4],to avoid mentioning,taboo word,name of deceased emperor or superior,,,,,,,,,,,,,,,
諱名,讳名,hui4 ming2],taboo name,name of deceased,,,,,,,,,,,,,,,,
諱疾忌醫,讳疾忌医,hui4 ji2 ji4 yi1],hiding a sickness for fear of treatment (idiom); fig. concealing a fault to avoid criticism,to keep one's shortcomings secret,to refuse to listen to advice,,,,,,,,,,,,,,,
諱稱,讳称,hui4 cheng1],euphemism,word used to avoid a taboo reference,,,,,,,,,,,,,,,,
諱莫如深,讳莫如深,hui4 mo4 ru2 shen1],important matter that must be kept secret (idiom); don't breathe a word of it to anyone!,,,,,,,,,,,,,,,,,
諳,谙,an1],to be versed in,to know well,,,,,,,,,,,,,,,,
諳練,谙练,an1 lian4],conversant,skilled,proficient,,,,,,,,,,,,,,,
諴,諴,xian2],to bring into accord,sincerity,,,,,,,,,,,,,,,,
諵,諵,nan2],mumble in repetition,,,,,,,,,,,,,,,,,
