1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
悸,悸,ji4],to palpitate,,,,,,,,,,,,,,,,,
悸動,悸动,ji4 dong4],to pound,to throb,,,,,,,,,,,,,,,,
悸慄,悸栗,ji4 li4],to tremble with fear,,,,,,,,,,,,,,,,,
悻,悻,xing4],angry,,,,,,,,,,,,,,,,,
悻悻,悻悻,xing4 xing4],angry,resentful,,,,,,,,,,,,,,,,
悼,悼,dao4],to mourn,to lament,,,,,,,,,,,,,,,,
悼念,悼念,dao4 nian4],to grieve,,,,,,,,,,,,,,,,,
悼襄王,悼襄王,Dao4 xiang1 Wang2],King Daoxiang of Zhao 趙國|赵国 reigned 245-236 BC,,,,,,,,,,,,,,,,,
悼詞,悼词,dao4 ci2],memorial speech,eulogy,,,,,,,,,,,,,,,,
悼辭,悼辞,dao4 ci2],variant of 悼詞|悼词[dao4 ci2],,,,,,,,,,,,,,,,,
悽,凄,qi1],variant of 淒|凄[qi1],sad,mournful,,,,,,,,,,,,,,,
悽哀,凄哀,qi1 ai1],desolate,mournful,,,,,,,,,,,,,,,,
悽惻,凄恻,qi1 ce4],heartbroken,sorrowful,,,,,,,,,,,,,,,,
悽愴,凄怆,qi1 chuang4],pitiful,painful,heartrending,,,,,,,,,,,,,,,
悽慘,凄惨,qi1 can3],plaintive,mournful,miserable,,,,,,,,,,,,,,,
悽楚,凄楚,qi1 chu3],sad,wretched,miserable,,,,,,,,,,,,,,,
悽涼,凄凉,qi1 liang2],mournful,miserable,,,,,,,,,,,,,,,,
悽然,凄然,qi1 ran2],distressed,,,,,,,,,,,,,,,,,
悽苦,凄苦,qi1 ku3],bleak,miserable,,,,,,,,,,,,,,,,
悽迷,凄迷,qi1 mi2],pained and bewildered,,,,,,,,,,,,,,,,,
悾,悾,kong1],simple-minded,sincere,,,,,,,,,,,,,,,,
惄,惄,ni4],distressed,famished,,,,,,,,,,,,,,,,
情,情,qing2],feeling,emotion,passion,situation,,,,,,,,,,,,,,
情不可卻,情不可却,qing2 bu4 ke3 que4],unable to refuse because of affection,,,,,,,,,,,,,,,,,
情不自禁,情不自禁,qing2 bu4 zi4 jin1],unable to restrain emotions,cannot help,,,,,,,,,,,,,,,,
情事,情事,qing2 shi4],circumstances,facts (of a case),case,feelings,love affair,,,,,,,,,,,,,
情人,情人,qing2 ren2],lover,sweetheart,,,,,,,,,,,,,,,,
情人眼裡出西施,情人眼里出西施,qing2 ren2 yan3 li3 chu1 Xi1 shi1],lit. in the eyes of a lover appears 西施[Xi1 shi1] (idiom); fig. beauty is in the eye of the beholder,,,,,,,,,,,,,,,,,
情人眼裡有西施,情人眼里有西施,qing2 ren2 yan3 li3 you3 Xi1 shi1],In the eyes of the lover a famous beauty (idiom). Beauty in the eye of the beholder,,,,,,,,,,,,,,,,,
情人節,情人节,Qing2 ren2 jie2],Valentine's Day,,,,,,,,,,,,,,,,,
情何以堪,情何以堪,qing2 he2 yi3 kan1],how can this be endured! (idiom),,,,,,,,,,,,,,,,,
情侶,情侣,qing2 lu:3],sweethearts,lovers,,,,,,,,,,,,,,,,
情侶裝,情侣装,qing2 lu:3 zhuang1],matching outfit for couples,,,,,,,,,,,,,,,,,
情侶鸚鵡,情侣鹦鹉,qing2 lu:3 ying1 wu3],lovebirds,,,,,,,,,,,,,,,,,
情兒,情儿,qing2 r5],mistress,secret lover,extramarital lover,,,,,,,,,,,,,,,
情分,情分,qing2 fen4],mutual affection,friendship,,,,,,,,,,,,,,,,
情勢,情势,qing2 shi4],situation,circumstance,,,,,,,,,,,,,,,,
情同手足,情同手足,qing2 tong2 shou3 zu2],as close as one's hands and feet (idiom); loving one another as brothers,deep friendship,closely attached to one another,,,,,,,,,,,,,,,
情同骨肉,情同骨肉,qing2 tong2 gu3 rou4],as close as flesh and bones (idiom); deep friendship,,,,,,,,,,,,,,,,,
情味,情味,qing2 wei4],feeling,flavor,sense,,,,,,,,,,,,,,,
情商,情商,qing2 shang1],emotional quotient (EQ),emotional IQ,abbr. for 情緒商數|情绪商数[qing2 xu4 shang1 shu4],,,,,,,,,,,,,,,
情報,情报,qing2 bao4],information,intelligence,,,,,,,,,,,,,,,,
情報處,情报处,qing2 bao4 chu4],intelligence office,intelligence section,,,,,,,,,,,,,,,,
情場,情场,qing2 chang3],affairs of the heart,mutual relationship,,,,,,,,,,,,,,,,
情境,情境,qing2 jing4],situation,context,setting,environment,,,,,,,,,,,,,,
情境模型,情境模型,qing2 jing4 mo2 xing2],situational model,,,,,,,,,,,,,,,,,
情夫,情夫,qing2 fu1],married woman's lover,,,,,,,,,,,,,,,,,
情婦,情妇,qing2 fu4],mistress,paramour (of married man),,,,,,,,,,,,,,,,
情形,情形,qing2 xing5],circumstances,situation,CL:個|个[ge4],,,,,,,,,,,,,,,
情志,情志,qing2 zhi4],emotion,mood,,,,,,,,,,,,,,,,
情急,情急,qing2 ji2],anxious,,,,,,,,,,,,,,,,,
情急之下,情急之下,qing2 ji2 zhi1 xia4],in a moment of desperation,,,,,,,,,,,,,,,,,
情急了,情急了,qing2 ji2 liao3],mythical talking bird,mynah bird,,,,,,,,,,,,,,,,
情急智生,情急智生,qing2 ji2 zhi4 sheng1],inspiration in a moment of desperation (idiom),also written 情急之下,,,,,,,,,,,,,,,,
情意,情意,qing2 yi4],friendly regard,affection,,,,,,,,,,,,,,,,
情愛,情爱,qing2 ai4],affection,friendly feelings towards sb,love,,,,,,,,,,,,,,,
情感,情感,qing2 gan3],feeling,emotion,to move (emotionally),,,,,,,,,,,,,,,
情感分析,情感分析,qing2 gan3 fen1 xi1],sentiment analysis,,,,,,,,,,,,,,,,,
情愫,情愫,qing2 su4],sentiment,feeling,,,,,,,,,,,,,,,,
情態,情态,qing2 tai4],spirit,mood,(linguistics) modal,,,,,,,,,,,,,,,
情慾,情欲,qing2 yu4],lust,desire,sensual,,,,,,,,,,,,,,,
情懷,情怀,qing2 huai2],feelings,mood,,,,,,,,,,,,,,,,
情投意合,情投意合,qing2 tou2 yi4 he2],to have an affinity with each other (idiom),to find each other congenial,,,,,,,,,,,,,,,,
情操,情操,qing2 cao1],sentiments,feelings,disposition of mind,moral character,,,,,,,,,,,,,,
情敵,情敌,qing2 di2],rival in love,,,,,,,,,,,,,,,,,
情景,情景,qing2 jing3],scene,spectacle,circumstances,situation,,,,,,,,,,,,,,
情書,情书,qing2 shu1],love letter,,,,,,,,,,,,,,,,,
情有可原,情有可原,qing2 you3 ke3 yuan2],pardonable (of interruption misunderstanding etc),,,,,,,,,,,,,,,,,
情有獨鍾,情有独钟,qing2 you3 du2 zhong1],to have a feeling for sth (affection sympathy passion etc),,,,,,,,,,,,,,,,,
情有獨鐘,情有独钟,qing2 you3 du2 zhong1],to have a feeling for sth (affection sympathy passion etc),,,,,,,,,,,,,,,,,
情歌,情歌,qing2 ge1],love song,,,,,,,,,,,,,,,,,
情殺,情杀,qing2 sha1],murder as a crime of passion,,,,,,,,,,,,,,,,,
情比金堅,情比金坚,qing2 bi3 jin1 jian1],love is more solid than gold (idiom),,,,,,,,,,,,,,,,,
情況,情况,qing2 kuang4],circumstances,state of affairs,situation,CL:個|个[ge4]種|种[zhong3],,,,,,,,,,,,,,
情狀,情状,qing2 zhuang4],situation,circumstances,,,,,,,,,,,,,,,,
情理,情理,qing2 li3],reason,sense,,,,,,,,,,,,,,,,
情癡,情痴,qing2 chi1],infatuated,lovesick person,,,,,,,,,,,,,,,,
情種,情种,qing2 zhong3],affectionate,an affectionate person,,,,,,,,,,,,,,,,
情竇,情窦,qing2 dou4],(lit.) love aperture,(fig.) interest in love matters,,,,,,,,,,,,,,,,
情竇初開,情窦初开,qing2 dou4 chu1 kai1],first awakening of love (usually of a girl) (idiom),,,,,,,,,,,,,,,,,
情節,情节,qing2 jie2],plot,circumstances,,,,,,,,,,,,,,,,
情素,情素,qing2 su4],variant of 情愫[qing2 su4],,,,,,,,,,,,,,,,,
情結,情结,qing2 jie2],complex (psychology),,,,,,,,,,,,,,,,,
情網,情网,qing2 wang3],snare of love,,,,,,,,,,,,,,,,,
情緒,情绪,qing2 xu4],mood,state of mind,moodiness,CL:種|种[zhong3],,,,,,,,,,,,,,
情緒化,情绪化,qing2 xu4 hua4],emotional,sentimental,,,,,,,,,,,,,,,,
情緒商數,情绪商数,qing2 xu4 shang1 shu4],emotional quotient (EQ),emotional IQ,,,,,,,,,,,,,,,,
情緒智商,情绪智商,qing2 xu4 zhi4 shang1],emotional intelligence (EQ),,,,,,,,,,,,,,,,,
情緒狀態,情绪状态,qing2 xu4 zhuang4 tai4],emotional state,,,,,,,,,,,,,,,,,
情緣,情缘,qing2 yuan2],predestined love,love affinity,,,,,,,,,,,,,,,,
情義,情义,qing2 yi4],affection,comradeship,,,,,,,,,,,,,,,,
情色,情色,qing2 se4],erotic (of art etc),facial expression (archaic),,,,,,,,,,,,,,,,
情蒐,情蒐,qing2 sou1],intelligence gathering,,,,,,,,,,,,,,,,,
情詩,情诗,qing2 shi1],love poem,,,,,,,,,,,,,,,,,
情話,情话,qing2 hua4],terms of endearment,words of love,,,,,,,,,,,,,,,,
情誼,情谊,qing2 yi4],friendship,camaraderie,,,,,,,,,,,,,,,,
情調,情调,qing2 diao4],sentiment,tone and mood,taste,,,,,,,,,,,,,,,
情變,情变,qing2 bian4],loss of love,breakup of a relationship,,,,,,,,,,,,,,,,
情資,情资,qing2 zi1],intelligence,information,,,,,,,,,,,,,,,,
情趣,情趣,qing2 qu4],inclinations and interests,delight,fun,interest,appeal,,,,,,,,,,,,,
情趣商店,情趣商店,qing2 qu4 shang1 dian4],adult shop,,,,,,,,,,,,,,,,,
情趣用品,情趣用品,qing2 qu4 yong4 pin3],adult product,sex toy,,,,,,,,,,,,,,,,
情逾骨肉,情逾骨肉,qing2 yu2 gu3 rou4],feelings deeper than for one's own flesh and blood (idiom),deep friendship,,,,,,,,,,,,,,,,
情郎,情郎,qing2 lang2],boyfriend,paramour (of a woman),,,,,,,,,,,,,,,,
情隨事遷,情随事迁,qing2 sui2 shi4 qian1],feelings change with circumstances (idiom),,,,,,,,,,,,,,,,,
情面,情面,qing2 mian4],feelings and sensibilities,sentiment and face,sensitivity to other's feelings,,,,,,,,,,,,,,,
情願,情愿,qing2 yuan4],willingness,would rather (agree to X than Y),,,,,,,,,,,,,,,,
惆,惆,chou2],forlorn,vexed,disappointed,,,,,,,,,,,,,,,
惆悵,惆怅,chou2 chang4],melancholy,depression,,,,,,,,,,,,,,,,
惆悵若失,惆怅若失,chou2 chang4 ruo4 shi1],to feel despondent (idiom),,,,,,,,,,,,,,,,,
惇,惇,dun1],kindhearted,honest,,,,,,,,,,,,,,,,
惈,惈,guo3],courageous,resolute and daring,,,,,,,,,,,,,,,,
惋,惋,wan3],to sigh in regret or pity,Taiwan pr. [wan4],,,,,,,,,,,,,,,,
惋惜,惋惜,wan3 xi1],to regret,to feel that it is a great pity,to feel sorry for sb,,,,,,,,,,,,,,,
惌,惌,yuan1],to bear a grudge against,,,,,,,,,,,,,,,,,
惎,惎,ji4],injure,vilify,,,,,,,,,,,,,,,,
惏,婪,lan2],old variant of 婪[lan2],,,,,,,,,,,,,,,,,
惏,惏,lin2],cold,frigid,,,,,,,,,,,,,,,,
惑,惑,huo4],to confuse,to be puzzled,,,,,,,,,,,,,,,,
惑星,惑星,huo4 xing1],planet,also written 行星[xing2 xing1],,,,,,,,,,,,,,,,
惒,惒,he2],old variant of 和[he2],,,,,,,,,,,,,,,,,
惓,惓,quan2],earnest,,,,,,,,,,,,,,,,,
惓惓,惓惓,quan2 quan2],variant of 拳拳[quan2 quan2],,,,,,,,,,,,,,,,,
惔,惔,yan3],cheerful,,,,,,,,,,,,,,,,,
惕,惕,ti4],fearful,respectful,,,,,,,,,,,,,,,,
惕然,惕然,ti4 ran2],to be afraid fearful of,,,,,,,,,,,,,,,,,
惘,惘,wang3],disappointed,perplexed,,,,,,,,,,,,,,,,
惘然,惘然,wang3 ran2],frustrated,perplexed,irresolute,dazed,,,,,,,,,,,,,,
惘然若失,惘然若失,wang3 ran2 ruo4 shi1],lit. to be frustrated as though having lost sth (idiom),fig. to be at a loss,perplexed,frustrated,,,,,,,,,,,,,,
惙,惙,chuo4],mournful,uncertain,,,,,,,,,,,,,,,,
惚,惚,hu1],indistinct,,,,,,,,,,,,,,,,,
惛,惛,hun1],confused,forgetful,silly,,,,,,,,,,,,,,,
惛耄,惛耄,hun1 mao4],senile,senility,,,,,,,,,,,,,,,,
惜,惜,xi1],to cherish,to begrudge,to pity,Taiwan pr. [xi2],,,,,,,,,,,,,,
惜別,惜别,xi1 bie2],reluctant to part,,,,,,,,,,,,,,,,,
惜寸陰,惜寸阴,xi1 cun4 yin1],to cherish every moment,to make good use of one's time,,,,,,,,,,,,,,,,
惜福,惜福,xi1 fu2],to appreciate one's good fortune,,,,,,,,,,,,,,,,,
惜香憐玉,惜香怜玉,xi1 xiang1 lian2 yu4],see 憐香惜玉|怜香惜玉[lian2 xiang1 xi1 yu4],,,,,,,,,,,,,,,,,
惝,惝,chang3],disappointed,listless,frightened,also pr. [tang3],,,,,,,,,,,,,,
惝恍,惝恍,chang3 huang3],hurt and disappointed,blurry and unclear,,,,,,,,,,,,,,,,
惟,惟,wei2],#NAME?,only,,,,,,,,,,,,,,,,
惟一,惟一,wei2 yi1],only,sole,variant of 唯一[wei2 yi1],,,,,,,,,,,,,,,
惟利是圖,惟利是图,wei2 li4 shi4 tu2],variant of 唯利是圖|唯利是图[wei2 li4 shi4 tu2],,,,,,,,,,,,,,,,,
惟命是聽,惟命是听,wei2 ming4 shi4 ting1],see 唯命是從|唯命是从[wei2 ming4 shi4 cong2],,,,,,,,,,,,,,,,,
惟妙惟肖,惟妙惟肖,wei2 miao4 wei2 xiao4],to imitate to perfection,to be remarkably true to life,,,,,,,,,,,,,,,,
惟恐,惟恐,wei2 kong3],for fear that,lest,also written 唯恐,,,,,,,,,,,,,,,
惟有,惟有,wei2 you3],variant of 唯有[wei2 you3],,,,,,,,,,,,,,,,,
惟獨,惟独,wei2 du2],only,solely,this one alone,,,,,,,,,,,,,,,
惠,惠,Hui4],surname Hui,,,,,,,,,,,,,,,,,
惠,惠,hui4],favor,benefit,to bestow,(literary) benevolence,(honorific),,,,,,,,,,,,,
惠來,惠来,Hui4 lai2],Huilai county in Jieyang 揭陽|揭阳 Guangdong,,,,,,,,,,,,,,,,,
惠來縣,惠来县,Hui4 lai2 xian4],Huilai county in Jieyang 揭陽|揭阳 Guangdong,,,,,,,,,,,,,,,,,
惠城,惠城,Hui4 cheng2],Huicheng district of Huizhou city 惠州市[Hui4 zhou1 shi4] Guangdong,,,,,,,,,,,,,,,,,
惠城區,惠城区,Hui4 cheng2 qu1],Huicheng district of Huizhou city 惠州市[Hui4 zhou1 shi4] Guangdong,,,,,,,,,,,,,,,,,
惠子,惠子,Hui4 zi5],Hui-zi also known as Hui Shi 惠施[Hui4 Shi1] (c. 370-310 BC) politician and philosopher of the School of Logicians 名家 [Ming2 jia1] during the Warring States Period (475-220 BC),,,,,,,,,,,,,,,,,
惠安,惠安,Hui4 an1],Hui'an county in Quanzhou 泉州[Quan2 zhou1] Fujian,,,,,,,,,,,,,,,,,
惠安縣,惠安县,Hui4 an1 xian4],Hui'an county in Quanzhou 泉州[Quan2 zhou1] Fujian,,,,,,,,,,,,,,,,,
惠山,惠山,Hui4 shan1],Huishan district of Wuxi city 無錫市|无锡市[Wu2 xi1 shi4] Jiangsu,,,,,,,,,,,,,,,,,
惠山區,惠山区,Hui4 shan1 qu1],Huishan district of Wuxi city 無錫市|无锡市[Wu2 xi1 shi4] Jiangsu,,,,,,,,,,,,,,,,,
惠州,惠州,Hui4 zhou1],Huizhou prefecture level city in Guangdong,,,,,,,,,,,,,,,,,
惠州市,惠州市,Hui4 zhou1 shi4],Huizhou prefecture level city in Guangdong province,,,,,,,,,,,,,,,,,
惠斯勒,惠斯勒,Hui4 si1 le4],Whistler (name),,,,,,,,,,,,,,,,,
惠斯特,惠斯特,hui4 si1 te4],whist (loanword),,,,,,,,,,,,,,,,,
惠施,惠施,Hui4 Shi1],Hui Shi also known as Hui-zi 惠子[Hui4 zi5](c. 370-310 BC) politician and philosopher of the School of Logicians 名家 [Ming2 jia1] during the Warring States Period (475-220 BC),,,,,,,,,,,,,,,,,
惠普,惠普,Hui4 Pu3],Hewlett-Packard,,,,,,,,,,,,,,,,,
惠普公司,惠普公司,Hui4 Pu3 Gong1 si1],Hewlett-Packard,HP,,,,,,,,,,,,,,,,
惠更斯,惠更斯,Hui4 geng1 si1],Huygens (name),Christiaan Huygens (1629-1695) Dutch mathematician and astronomer,,,,,,,,,,,,,,,,
惠東,惠东,Hui4 dong1],Huidong county in Huizhou 惠州[Hui4 zhou1] Guangdong,,,,,,,,,,,,,,,,,
惠東縣,惠东县,Hui4 dong1 xian4],Huidong county in Huizhou 惠州[Hui4 zhou1] Guangdong,,,,,,,,,,,,,,,,,
惠民,惠民,Hui4 min2],Huimin county in Binzhou 濱州|滨州[Bin1 zhou1] Shandong,,,,,,,,,,,,,,,,,
惠民,惠民,hui4 min2],to benefit the people,,,,,,,,,,,,,,,,,
惠民縣,惠民县,Hui4 min2 xian4],Huimin county in Binzhou 濱州|滨州[Bin1 zhou1] Shandong,,,,,,,,,,,,,,,,,
惠水,惠水,Hui4 shui3],Huishui county in Qiannan Buyei and Miao autonomous prefecture 黔南州[Qian2 nan2 zhou1] Guizhou,,,,,,,,,,,,,,,,,
惠水縣,惠水县,Hui4 shui3 xian4],Huishui county in Qiannan Buyei and Miao autonomous prefecture 黔南州[Qian2 nan2 zhou1] Guizhou,,,,,,,,,,,,,,,,,
惠濟,惠济,Hui4 ji4],Huiji District of Zhengzhou City 鄭州市|郑州市[Zheng4 zhou1 Shi4] Henan,,,,,,,,,,,,,,,,,
惠濟區,惠济区,Hui4 ji4 Qu1],Huiji District of Zhengzhou City 鄭州市|郑州市[Zheng4 zhou1 Shi4] Henan,,,,,,,,,,,,,,,,,
惠特妮·休斯頓,惠特妮·休斯顿,Hui4 te4 ni1 · Xiu1 si1 dun4],Whitney Houston (1963-2012) American singer and actress,,,,,,,,,,,,,,,,,
惠特曼,惠特曼,Hui4 te4 man4],Whitman (surname),Walt Whitman (1819-1892) American poet and journalist,,,,,,,,,,,,,,,,
惠而不費,惠而不费,hui4 er2 bu4 fei4],a kind act that costs nothing,,,,,,,,,,,,,,,,,
惠能,惠能,Hui4 neng2],variant of 慧能[Hui4 neng2],,,,,,,,,,,,,,,,,
惠譽,惠誉,Hui4 yu4],Fitch credit rating agency,,,,,,,,,,,,,,,,,
惠農,惠农,Hui4 nong2],Huinong district of Shizuishan city 石嘴山市[Shi2 zui3 shan1 shi4] Ningxia,,,,,,,,,,,,,,,,,
惠農區,惠农区,Hui4 nong2 qu1],Huinong district of Shizuishan city 石嘴山市[Shi2 zui3 shan1 shi4] Ningxia,,,,,,,,,,,,,,,,,
惠遠寺,惠远寺,Hui4 yuan3 si4],Huiyuan Monastery in Dawu County 道孚縣|道孚县[Dao4 fu2 xian4] Garze Tibetan autonomous prefecture Sichuan,,,,,,,,,,,,,,,,,
惠陽,惠阳,Hui4 yang2],Huiyang district of Huizhou city 惠州市[Hui4 zhou1 shi4] Guangdong,,,,,,,,,,,,,,,,,
惠陽區,惠阳区,Hui4 yang2 qu1],Huiyang district of Huizhou city 惠州市[Hui4 zhou1 shi4] Guangdong,,,,,,,,,,,,,,,,,
惠陽地區,惠阳地区,Hui4 yang2 di4 qu1],Huizhou prefecture 惠州[Hui4 zhou1] Guangdong,,,,,,,,,,,,,,,,,
惠靈頓,惠灵顿,Hui4 ling2 dun4],Wellington capital of New Zealand,,,,,,,,,,,,,,,,,
惠顧,惠顾,hui4 gu4],your patronage,,,,,,,,,,,,,,,,,
惡,恶,e3],see 惡心|恶心[e3 xin1],,,,,,,,,,,,,,,,,
惡,恶,e4],evil,fierce,vicious,ugly,coarse,to harm,,,,,,,,,,,,
惡,恶,wu4],to hate,to loathe,ashamed,to fear,to slander,,,,,,,,,,,,,
惡事,恶事,e4 shi4],evil,malicious deed,,,,,,,,,,,,,,,,
惡事傳千里,恶事传千里,e4 shi4 chuan2 qian1 li3],evil deeds spread a thousand miles (idiom); scandal spreads like wildfire,,,,,,,,,,,,,,,,,
惡人,恶人,e4 ren2],evil person,vile creature,ugly man,,,,,,,,,,,,,,,
惡人先告狀,恶人先告状,e4 ren2 xian1 gao4 zhuang4],the guilty party files the suit,the thief cries thief,,,,,,,,,,,,,,,,
惡仗,恶仗,e4 zhang4],hard fighting,fierce battle,,,,,,,,,,,,,,,,
惡作劇,恶作剧,e4 zuo4 ju4],mischief,mischievous,practical joke,prank,,,,,,,,,,,,,,
惡俗,恶俗,e4 su2],bad habit,evil custom,vulgarity,,,,,,,,,,,,,,,
惡兇兇,恶凶凶,e4 xiong1 xiong1],fierce,,,,,,,,,,,,,,,,,
惡創,恶创,e4 chuang1],malign sore (TCM),,,,,,,,,,,,,,,,,
惡劣,恶劣,e4 lie4],vile,nasty,of very poor quality,,,,,,,,,,,,,,,
惡劣影響,恶劣影响,e4 lie4 ying3 xiang3],evil influence,,,,,,,,,,,,,,,,,
惡勢力,恶势力,e4 shi4 li4],evil forces,criminal elements,,,,,,,,,,,,,,,,
惡化,恶化,e4 hua4],to worsen,,,,,,,,,,,,,,,,,
惡叉白賴,恶叉白赖,e4 cha1 bai2 lai4],evil behavior (idiom); brazen villainy,,,,,,,,,,,,,,,,,
惡口,恶口,e4 kou3],bad language,foul mouth,,,,,,,,,,,,,,,,
惡名,恶名,e4 ming2],bad name,evil reputation,,,,,,,,,,,,,,,,
惡名兒,恶名儿,e4 ming2 r5],erhua variant of 惡名|恶名[e4 ming2],,,,,,,,,,,,,,,,,
惡名昭彰,恶名昭彰,e4 ming2 zhao1 zhang1],infamous,notorious,,,,,,,,,,,,,,,,
惡名昭著,恶名昭著,e4 ming2 zhao1 zhu4],notorious (idiom),infamous,,,,,,,,,,,,,,,,
惡唑啉,恶唑啉,e4 zuo4 lin2],oxacillin,,,,,,,,,,,,,,,,,
惡唑啉酮,恶唑啉酮,e4 zuo4 lin2 tong2],oxacillin,,,,,,,,,,,,,,,,,
惡報,恶报,e4 bao4],retribution,,,,,,,,,,,,,,,,,
惡夢,恶梦,e4 meng4],nightmare,,,,,,,,,,,,,,,,,
惡婦,恶妇,e4 fu4],vicious wife,,,,,,,,,,,,,,,,,
惡少,恶少,e4 shao4],young thug,malicious young ruffian,,,,,,,,,,,,,,,,
惡徒,恶徒,e4 tu2],hoodlum,bad guy,,,,,,,,,,,,,,,,
惡德,恶德,e4 de2],wickedness,evil behavior,,,,,,,,,,,,,,,,
惡心,恶心,e3 xin1],nausea,to feel sick,disgust,nauseating,to embarrass (deliberately),,,,,,,,,,,,,
惡心,恶心,e4 xin1],bad habit,vicious habit,vice,,,,,,,,,,,,,,,
惡性,恶性,e4 xing4],malignant,wicked,vicious (circle),producing evil,rapid (decline),runaway (inflation),,,,,,,,,,,,
惡性循環,恶性循环,e4 xing4 xun2 huan2],vicious circle,,,,,,,,,,,,,,,,,
惡性瘧原蟲,恶性疟原虫,e4 xing4 nu:e4 yuan2 chong2],plasmodium falciparum (malaria parasite),,,,,,,,,,,,,,,,,
惡性腫瘤,恶性肿瘤,e4 xing4 zhong3 liu2],malignant tumor,,,,,,,,,,,,,,,,,
惡性通貨膨脹,恶性通货膨胀,e4 xing4 tong1 huo4 peng2 zhang4],hyperinflation,,,,,,,,,,,,,,,,,
惡恨,恶恨,e4 hen4],to hate,to abhor,,,,,,,,,,,,,,,,
惡惡實實,恶恶实实,e4 e4 shi2 shi2],very fierce,,,,,,,,,,,,,,,,,
惡意,恶意,e4 yi4],malice,evil intention,,,,,,,,,,,,,,,,
惡意中傷,恶意中伤,e4 yi4 zhong1 shang1],malicious libel,slander,,,,,,,,,,,,,,,,
惡意代碼,恶意代码,e4 yi4 dai4 ma3],malicious code (e.g. virus),malware,,,,,,,,,,,,,,,,
惡感,恶感,e4 gan3],malice,ill will,,,,,,,,,,,,,,,,
惡戰,恶战,e4 zhan4],hard fighting,fierce battle,,,,,,,,,,,,,,,,
惡損,恶损,e4 sun3],to ridicule,,,,,,,,,,,,,,,,,
惡搞,恶搞,e4 gao3],spoof (web-based genre in PRC acquiring cult status from 2005 involving humorous satirical or fantastical videos photo collections texts poems etc),,,,,,,,,,,,,,,,,
惡搞文化,恶搞文化,e4 gao3 wen2 hua4],spoofing culture (Web-based genre in PRC acquiring cult status from 2005 involving humorous satirical or fantastical videos photo collections texts poems etc),,,,,,,,,,,,,,,,,
惡有惡報,恶有恶报,e4 you3 e4 bao4],evil has its retribution (idiom); to suffer the consequences of one's bad deeds,sow the wind and reap the whirlwind (Hosea 8:7),,,,,,,,,,,,,,,,
惡果,恶果,e4 guo3],evil consequence,retribution (in Buddhism),,,,,,,,,,,,,,,,
惡棍,恶棍,e4 gun4],scoundrel,rogue,bully,villain,,,,,,,,,,,,,,
惡歲,恶岁,e4 sui4],lean year,year of bad harvest,,,,,,,,,,,,,,,,
惡毒,恶毒,e4 du2],malicious,,,,,,,,,,,,,,,,,
惡氣,恶气,e4 qi4],evil smell,resentment,unpleasant manner,,,,,,,,,,,,,,,
惡水,恶水,e4 shui3],dirty water,water that is unfit to drink,slops,,,,,,,,,,,,,,,
惡浪,恶浪,e4 lang4],violent wave,fierce billow,fig. depraved force,,,,,,,,,,,,,,,
惡漢,恶汉,e4 han4],overbearing fiend,,,,,,,,,,,,,,,,,
惡濁,恶浊,e4 zhuo2],filthy,foul,,,,,,,,,,,,,,,,
惡煞,恶煞,e4 sha4],demon,fiend,,,,,,,,,,,,,,,,
惡狠,恶狠,e4 hen3],fierce and vicious,,,,,,,,,,,,,,,,,
惡狠狠,恶狠狠,e4 hen3 hen3],very fierce,,,,,,,,,,,,,,,,,
惡疾,恶疾,e4 ji2],unpleasant ailment,foul disease,,,,,,,,,,,,,,,,
惡病質,恶病质,e4 bing4 zhi4],Cachexia (physical wasting associated with long-term illness),,,,,,,,,,,,,,,,,
惡癖,恶癖,e4 pi3],bad habit,,,,,,,,,,,,,,,,,
惡相,恶相,e4 xiang4],evil countenance,vicious appearance,,,,,,,,,,,,,,,,
惡神,恶神,e4 shen2],malignant deity,fiend,,,,,,,,,,,,,,,,
惡罵,恶骂,e4 ma4],to curse fiercely,,,,,,,,,,,,,,,,,
惡習,恶习,e4 xi2],bad habit,vice,,,,,,,,,,,,,,,,
惡聲,恶声,e4 sheng1],malicious abuse,lewd song,evil reputation,,,,,,,,,,,,,,,
惡臭,恶臭,e4 chou4],stink,,,,,,,,,,,,,,,,,
惡舌,恶舌,e4 she2],vicious talk,malicious tongue,,,,,,,,,,,,,,,,
惡行,恶行,e4 xing2],evil or wicked conduct,,,,,,,,,,,,,,,,,
惡補,恶补,e4 bu3],to overdose on supplementary medicine,to cram too hard,,,,,,,,,,,,,,,,
惡言,恶言,e4 yan2],evil tongue,malicious talk,,,,,,,,,,,,,,,,
惡言傷人,恶言伤人,e4 yan2 shang1 ren2],to insult,to direct bad language at sb,to slag off,,,,,,,,,,,,,,,
惡誓,恶誓,e4 shi4],evil oath,,,,,,,,,,,,,,,,,
惡語,恶语,e4 yu3],evil words,malicious talk,,,,,,,,,,,,,,,,
惡語中傷,恶语中伤,e4 yu3 zhong4 shang1],vicious slander,to calumny maliciously,,,,,,,,,,,,,,,,
