1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
從嚴懲處,从严惩处,cong2 yan2 cheng2 chu3],to deal with sb severely (idiom),,,,,,,,,,,,,,,,,
從天而降,从天而降,cong2 tian1 er2 jiang4],lit. to drop from the sky (idiom),fig. to appear unexpectedly,to arise abruptly,out of the blue,to drop into one's lap,,,,,,,,,,,,,
從容,从容,cong2 rong2],to go easy,unhurried,calm,Taiwan pr. [cong1 rong2],,,,,,,,,,,,,,
從容不迫,从容不迫,cong2 rong2 bu4 po4],calm,unruffled,,,,,,,,,,,,,,,,
從實招來,从实招来,cong2 shi2 zhao1 lai2],to own up to the facts,,,,,,,,,,,,,,,,,
從寬,从宽,cong2 kuan1],lenient,leniently,,,,,,,,,,,,,,,,
從小,从小,cong2 xiao3],from childhood,as a child,,,,,,,,,,,,,,,,
從屬,从属,cong2 shu3],subordinate,,,,,,,,,,,,,,,,,
從影,从影,cong2 ying3],to make movies,to be a movie actor (or actress),,,,,,,,,,,,,,,,
從從容容,从从容容,cong2 cong2 rong2 rong2],unhurried,all in good time,,,,,,,,,,,,,,,,
從心所欲,从心所欲,cong2 xin1 suo3 yu4],whatever you like,to do as one pleases,,,,,,,,,,,,,,,,
從戎,从戎,cong2 rong2],to enlist,to be in the army,,,,,,,,,,,,,,,,
從未,从未,cong2 wei4],never,,,,,,,,,,,,,,,,,
從業,从业,cong2 ye4],to practice (a trade),,,,,,,,,,,,,,,,,
從業人員,从业人员,cong2 ye4 ren2 yuan2],employee,person employed in a trade or profession,,,,,,,,,,,,,,,,
從此,从此,cong2 ci3],from now on,since then,henceforth,,,,,,,,,,,,,,,
從此往後,从此往后,cong2 ci3 wang3 hou4],from here on,,,,,,,,,,,,,,,,,
從江,从江,Cong2 jiang1],Congjiang county in Qiandongnan Miao and Dong autonomous prefecture 黔東南州|黔东南州[Qian2 dong1 nan2 zhou1] Guizhou,,,,,,,,,,,,,,,,,
從江縣,从江县,Cong2 jiang1 xian4],Congjiang county in Qiandongnan Miao and Dong autonomous prefecture 黔東南州|黔东南州[Qian2 dong1 nan2 zhou1] Guizhou,,,,,,,,,,,,,,,,,
從沒,从没,cong2 mei2],never (in the past),never did,,,,,,,,,,,,,,,,
從犯,从犯,cong2 fan4],accessory to a crime,accomplice,,,,,,,,,,,,,,,,
從略,从略,cong2 lu:e4],to omit (less important details etc),,,,,,,,,,,,,,,,,
從眾,从众,cong2 zhong4],to follow the crowd,to conform,,,,,,,,,,,,,,,,
從緩,从缓,cong2 huan3],not to hurry,to procrastinate,to postpone,,,,,,,,,,,,,,,
從者,从者,cong2 zhe3],follower,attendant,,,,,,,,,,,,,,,,
從而,从而,cong2 er2],thus,thereby,,,,,,,,,,,,,,,,
從良,从良,cong2 liang2],(of a slave or servant) to be given one's freedom,(of a prostitute) to marry and leave one's trade,,,,,,,,,,,,,,,,
從裡到外,从里到外,cong2 li3 dao4 wai4],from the inside to the outside,through and through,thoroughly,,,,,,,,,,,,,,,
從諫如流,从谏如流,cong2 jian4 ru2 liu2],to follow admonition as natural flow (idiom); to accept criticism or correction (even from one's inferiors),,,,,,,,,,,,,,,,,
從軍,从军,cong2 jun1],to enlist,to serve in the army,,,,,,,,,,,,,,,,
從輕,从轻,cong2 qing1],to be lenient (in sentencing),,,,,,,,,,,,,,,,,
從速,从速,cong2 su4],(to do sth) with dispatch,as soon as possible,,,,,,,,,,,,,,,,
從長計議,从长计议,cong2 chang2 ji4 yi4],to take one's time making a decision (idiom),to consider at length,,,,,,,,,,,,,,,,
從難從嚴,从难从严,cong2 nan2 cong2 yan2],demanding and strict (idiom),exacting,,,,,,,,,,,,,,,,
從頭,从头,cong2 tou2],anew,from the start,,,,,,,,,,,,,,,,
從頭到尾,从头到尾,cong2 tou2 dao4 wei3],from start to finish,from head to tail,the whole (thing),,,,,,,,,,,,,,,
從頭到腳,从头到脚,cong2 tou2 dao4 jiao3],from head to foot,,,,,,,,,,,,,,,,,
徠,徕,lai2],see 招徠|招徕[zhao1 lai2],,,,,,,,,,,,,,,,,
御,御,yu4],to resist,imperial,(classical) to drive (a chariot),to manage,to govern,,,,,,,,,,,,,
御便當,御便当,yu4 bian4 dang1],(Tw) bento,lunch box,,,,,,,,,,,,,,,,
御史,御史,yu4 shi3],imperial censor (formal title of a dynastic official),,,,,,,,,,,,,,,,,
御宅族,御宅族,yu4 zhai2 zu2],otaku a Japanese term for people with obsessive interests such as anime manga and video games,see also 宅男[zhai2 nan2],see also 宅女[zhai2 nu:3],,,,,,,,,,,,,,,
御寶,御宝,yu4 bao3],imperial seal,,,,,,,,,,,,,,,,,
御弟,御弟,yu4 di4],emperor's young brother,,,,,,,,,,,,,,,,,
御戎,御戎,yu4 rong2],(military) chariot driver (old),,,,,,,,,,,,,,,,,
御手,御手,yu4 shou3],the emperor's hand,variant of 馭手|驭手[yu4 shou3],,,,,,,,,,,,,,,,
御用,御用,yu4 yong4],for use by the emperor,imperial,(derog.) in the pay of the ruler,,,,,,,,,,,,,,,
御膳房,御膳房,yu4 shan4 fang2],imperial kitchen,,,,,,,,,,,,,,,,,
御賜,御赐,yu4 ci4],to be bestowed conferred or granted by the emperor,,,,,,,,,,,,,,,,,
御酒,御酒,yu4 jiu3],imperial wine,sacred wine,,,,,,,,,,,,,,,,
御醫,御医,yu4 yi1],imperial physician,,,,,,,,,,,,,,,,,
